school,year,conference
Abilene Christian,2010,WAC
Abilene Christian,2011,WAC
Abilene Christian,2012,WAC
Abilene Christian,2013,WAC
Abilene Christian,2014,WAC
Abilene Christian,2015,WAC
Abilene Christian,2016,WAC
Abilene Christian,2017,WAC
Abilene Christian,2018,WAC
Abilene Christian,2019,WAC
Abilene Christian,2020,WAC
Abilene Christian,2021,WAC
Abilene Christian,2022,WAC
Abilene Christian,2023,WAC
Abilene Christian,2024,WAC
Air Force,2010,Mountain West
Air Force,2011,Mountain West
Air Force,2012,Mountain West
Air Force,2013,Mountain West
Air Force,2014,Mountain West
Air Force,2015,Mountain West
Air Force,2016,Mountain West
Air Force,2017,Mountain West
Air Force,2018,Mountain West
Air Force,2019,Mountain West
Air Force,2020,Mountain West
Air Force,2021,Mountain West
Air Force,2022,Mountain West
Air Force,2023,Mountain West
Air Force,2024,Mountain West
Akron,2010,MAC
Akron,2011,MAC
Akron,2012,MAC
Akron,2013,MAC
Akron,2014,MAC
Akron,2015,MAC
Akron,2016,MAC
Akron,2017,MAC
Akron,2018,MAC
Akron,2019,MAC
Akron,2020,MAC
Akron,2021,MAC
Akron,2022,MAC
Akron,2023,MAC
Akron,2024,MAC
Alabama,2010,SEC
Alabama,2011,SEC
Alabama,2012,SEC
Alabama,2013,SEC
Alabama,2014,SEC
Alabama,2015,SEC
Alabama,2016,SEC
Alabama,2017,SEC
Alabama,2018,SEC
Alabama,2019,SEC
Alabama,2020,SEC
Alabama,2021,SEC
Alabama,2022,SEC
Alabama,2023,SEC
Alabama,2024,SEC
Alabama State,2010,SWAC
Alabama State,2011,SWAC
Alabama State,2012,SWAC
Alabama State,2013,SWAC
Alabama State,2014,SWAC
Alabama State,2015,SWAC
Alabama State,2016,SWAC
Alabama State,2017,SWAC
Alabama State,2018,SWAC
Alabama State,2019,SWAC
Alabama State,2020,SWAC
Alabama State,2021,SWAC
Alabama State,2022,SWAC
Alabama State,2023,SWAC
Alabama State,2024,SWAC
Albany,2010,America East
Albany,2011,America East
Albany,2012,America East
Albany,2013,America East
Albany,2014,America East
Albany,2015,America East
Albany,2016,America East
Albany,2017,America East
Albany,2018,America East
Albany,2019,America East
Albany,2020,America East
Albany,2021,America East
Albany,2022,America East
Albany,2023,America East
Albany,2024,America East
Alcorn State,2010,SWAC
Alcorn State,2011,SWAC
Alcorn State,2012,SWAC
Alcorn State,2013,SWAC
Alcorn State,2014,SWAC
Alcorn State,2015,SWAC
Alcorn State,2016,SWAC
Alcorn State,2017,SWAC
Alcorn State,2018,SWAC
Alcorn State,2019,SWAC
Alcorn State,2020,SWAC
Alcorn State,2021,SWAC
Alcorn State,2022,SWAC
Alcorn State,2023,SWAC
Alcorn State,2024,SWAC
American,2010,Patriot
American,2011,Patriot
American,2012,Patriot
American,2013,Patriot
American,2014,Patriot
American,2015,Patriot
American,2016,Patriot
American,2017,Patriot
American,2018,Patriot
American,2019,Patriot
American,2020,Patriot
American,2021,Patriot
American,2022,Patriot
American,2023,Patriot
American,2024,Patriot
Appalachian State,2010,Sun Belt
Appalachian State,2011,Sun Belt
Appalachian State,2012,Sun Belt
Appalachian State,2013,Sun Belt
Appalachian State,2014,Sun Belt
Appalachian State,2015,Sun Belt
Appalachian State,2016,Sun Belt
Appalachian State,2017,Sun Belt
Appalachian State,2018,Sun Belt
Appalachian State,2019,Sun Belt
Appalachian State,2020,Sun Belt
Appalachian State,2021,Sun Belt
Appalachian State,2022,Sun Belt
Appalachian State,2023,Sun Belt
Appalachian State,2024,Sun Belt
Arizona,2010,Pac-12
Arizona,2011,Pac-12
Arizona,2012,Pac-12
Arizona,2013,Pac-12
Arizona,2014,Pac-12
Arizona,2015,Pac-12
Arizona,2016,Pac-12
Arizona,2017,Pac-12
Arizona,2018,Pac-12
Arizona,2019,Pac-12
Arizona,2020,Pac-12
Arizona,2021,Pac-12
Arizona,2022,Pac-12
Arizona,2023,Pac-12
Arizona,2024,Big 12
Arizona State,2010,Pac-12
Arizona State,2011,Pac-12
Arizona State,2012,Pac-12
Arizona State,2013,Pac-12
Arizona State,2014,Pac-12
Arizona State,2015,Pac-12
Arizona State,2016,Pac-12
Arizona State,2017,Pac-12
Arizona State,2018,Pac-12
Arizona State,2019,Pac-12
Arizona State,2020,Pac-12
Arizona State,2021,Pac-12
Arizona State,2022,Pac-12
Arizona State,2023,Pac-12
Arizona State,2024,Big 12
Arkansas,2010,SEC
Arkansas,2011,SEC
Arkansas,2012,SEC
Arkansas,2013,SEC
Arkansas,2014,SEC
Arkansas,2015,SEC
Arkansas,2016,SEC
Arkansas,2017,SEC
Arkansas,2018,SEC
Arkansas,2019,SEC
Arkansas,2020,SEC
Arkansas,2021,SEC
Arkansas,2022,SEC
Arkansas,2023,SEC
Arkansas,2024,SEC
Arkansas State,2010,Sun Belt
Arkansas State,2011,Sun Belt
Arkansas State,2012,Sun Belt
Arkansas State,2013,Sun Belt
Arkansas State,2014,Sun Belt
Arkansas State,2015,Sun Belt
Arkansas State,2016,Sun Belt
Arkansas State,2017,Sun Belt
Arkansas State,2018,Sun Belt
Arkansas State,2019,Sun Belt
Arkansas State,2020,Sun Belt
Arkansas State,2021,Sun Belt
Arkansas State,2022,Sun Belt
Arkansas State,2023,Sun Belt
Arkansas State,2024,Sun Belt
Arkansas-Pine Bluff,2010,SWAC
Arkansas-Pine Bluff,2011,SWAC
Arkansas-Pine Bluff,2012,SWAC
Arkansas-Pine Bluff,2013,SWAC
Arkansas-Pine Bluff,2014,SWAC
Arkansas-Pine Bluff,2015,SWAC
Arkansas-Pine Bluff,2016,SWAC
Arkansas-Pine Bluff,2017,SWAC
Arkansas-Pine Bluff,2018,SWAC
Arkansas-Pine Bluff,2019,SWAC
Arkansas-Pine Bluff,2020,SWAC
Arkansas-Pine Bluff,2021,SWAC
Arkansas-Pine Bluff,2022,SWAC
Arkansas-Pine Bluff,2023,SWAC
Arkansas-Pine Bluff,2024,SWAC
Army,2010,Patriot
Army,2011,Patriot
Army,2012,Patriot
Army,2013,Patriot
Army,2014,Patriot
Army,2015,Patriot
Army,2016,Patriot
Army,2017,Patriot
Army,2018,Patriot
Army,2019,Patriot
Army,2020,Patriot
Army,2021,Patriot
Army,2022,Patriot
Army,2023,Patriot
Army,2024,Patriot
Auburn,2010,SEC
